t_ms,red,ir,stm_glucose,stm_status,stm_sqi
5420,79512,110381,,,
5430,79658,110566,,,
5440,79783,110737,,,
5450,79926,110886,,,
5460,80047,111045,,,
5470,80132,111169,,,
5480,80190,111256,,,
5490,80287,111332,,,
5500,80263,111355,,,
5510,80285,111362,,,
5520,80261,111298,,,
5530,80200,111250,,,
5540,80146,111194,,,
5550,80060,111095,,,
5560,79988,111006,,,
5570,79921,110904,,,
5580,79867,110837,,,
5590,79816,110760,,,
5600,79758,110683,,,
5610,79709,110607,,,
5620,79650,110553,,,
5630,79595,110499,,,
5640,79552,110451,,,
5650,79502,110357,,,
5660,79418,110277,,,
5670,79357,110175,,,
5680,79270,110061,,,
5690,79188,109971,,,
5700,79075,109857,,,
5710,78997,109737,,,
5720,78884,109639,,,
5730,78831,109546,,,
5740,78758,109428,,,
5750,78686,109343,,,
5760,78611,109274,,,
5770,78569,109196,,,
5780,78526,109145,,,
5790,78514,109140,,,
5800,78476,109078,,,
5810,78472,109097,,,
5820,78485,109081,,,
5830,78468,109114,,,
5840,78491,109108,,,
5850,78532,109147,,,
5860,78550,109175,,,
5870,78615,109263,,,
5880,78670,109332,,,
5890,78746,109407,,,
5900,78773,109471,,,
5910,78852,109562,,,
5920,78919,109670,,,
5930,79012,109747,,,
5940,79084,109856,,,
5950,79146,109933,,,
5960,79225,110030,,,
5970,79299,110129,,,
5980,79359,110217,,,
5990,79418,110262,,,
6000,79222,110038,,,
6010,79193,110037,,,
6020,79189,110017,,,
6030,79181,109988,,,
6040,79161,109955,,,
6050,79146,109923,,,
6060,79133,109914,,,
6070,79119,109890,,,
6080,79140,109908,,,
6090,79143,109903,,,
6100,79124,109925,,,
6110,79117,109902,,,
6120,79139,109934,,,
6130,79146,109910,,,
6140,79137,109925,,,
6150,79124,109940,,,
6160,79146,109937,,,
6170,79137,109946,,,
6180,79124,109919,,,
6190,79139,109917,,,
6200,79116,109892,,,
6210,79102,109881,,,
6220,79086,109843,,,
6230,79047,109809,,,
6240,79034,109754,,,
6250,78990,109775,,,
6260,78982,109698,,,
6270,78944,109669,,,
6280,78917,109625,,,
6290,78876,109607,,,
6300,78862,109593,,,
6310,78833,109555,,,
6320,78838,109516,,,
6330,78816,109545,,,
6340,78851,109550,,,
6350,78862,109571,,,
6360,78913,109612,,,
6370,78933,109689,,,
6380,79036,109776,,,
6390,79135,109913,,,
6400,79250,110021,,,
6410,79377,110210,,,
6420,79508,110369,,,
6430,79642,110538,,,
6440,79794,110735,,,
6450,79921,110903,,,
6460,80063,111044,,,
6470,80143,111191,,,
6480,80228,111292,,,
6490,80278,111328,,,
6500,80288,111347,,,
6510,80271,111331,,,
6520,80242,111311,,,
6530,80191,111235,,,
6540,80132,111190,,,
6550,80057,111093,,,
6560,79989,111013,,,
6570,79959,110903,,,
6580,79858,110842,,,
6590,79796,110746,,,
6600,79738,110690,,,
6610,79708,110616,,,
6620,79649,110553,,,
6630,79607,110485,,,
6640,79539,110450,,,
6650,79486,110365,,,
6660,79412,110262,,,
6670,79333,110191,,,
6680,79284,110065,,,
6690,79165,109978,,,
6700,79070,109851,,,
6710,79000,109742,,,
6720,78901,109645,,,
6730,78812,109525,,,
6740,78731,109429,,,
6750,78688,109356,,,
6760,78601,109285,,,
6770,78575,109197,,,
6780,78527,109158,,,
6790,78484,109123,,,
6800,78451,109085,,,
6810,78467,109079,,,
6820,78443,109084,,,
6830,78454,109089,,,
6840,78507,109121,,,
6850,78525,109164,,,
6860,78569,109212,,,
6870,78606,109265,,,
6880,78673,109304,,,
6890,78728,109427,,,
6900,78791,109498,,,
6910,78853,109548,,,
6920,78912,109657,,,
6930,78983,109743,,,
6940,79069,109840,,,
6950,79128,109947,,,
6960,79246,110025,,,
6970,79276,110119,,,
6980,79379,110218,,,
6990,79438,110288,,,
7000,79267,110040,,,
7010,79190,110024,,,
7020,79199,110013,,,
7030,79178,109984,,,
7040,79158,109951,,,
7050,79153,109919,,,
7060,79131,109916,,,
7070,79119,109927,,,
7080,79148,109904,,,
7090,79127,109917,,,
7100,79137,109911,,,
7110,79126,109911,,,
7120,79115,109920,,,
7130,79126,109921,,,
7140,79141,109910,,,
7150,79142,109903,,,
7160,79159,109920,,,
7170,79152,109943,,,
7180,79135,109910,,,
7190,79125,109908,,,
7200,79096,109879,,,
7210,79106,109867,,,
7220,79086,109817,,,
7230,79063,109828,,,
7240,79024,109772,,,
7250,79004,109750,,,
7260,78966,109682,,,
7270,78938,109667,,,
7280,78908,109657,,,
7290,78889,109609,,,
7300,78873,109571,,,
7310,78828,109544,,,
7320,78835,109533,,,
7330,78839,109523,,,
7340,78836,109535,,,
7350,78874,109580,,,
7360,78882,109620,,,
7370,78951,109699,,,
7380,79031,109794,,,
7390,79116,109913,,,
7400,79260,110052,,,
7410,79370,110204,,,
7420,79512,110389,,,
7430,79638,110568,,,
7440,79814,110749,,,
7450,79903,110913,,,
7460,80043,111058,,,
7470,80144,111188,,,
7480,80200,111292,,,
7490,80250,111332,,,
7500,80295,111349,,,
7510,80307,111350,,,
7520,80288,111338,,,
7530,80198,111263,,,
7540,80148,111181,,,
7550,80048,111088,,,
7560,79996,110993,,,
7570,79929,110898,,,
7580,79876,110831,,,
7590,79809,110744,,,
7600,79716,110681,,,
7610,79692,110609,,,
7620,79647,110556,,,
7630,79581,110530,,,
7640,79553,110422,,,
7650,79512,110340,,,
7660,79424,110273,,,
7670,79334,110190,,,
7680,79263,110084,,,
7690,79183,109963,,,
7700,79069,109852,,,
7710,79002,109752,,,
7720,78904,109640,,,
7730,78808,109518,,,
7740,78745,109451,,,
7750,78688,109320,,,
7760,78619,109279,,,
